"","lat","long"
"1",40.7195861164717,-74.0431174635887
"2",40.727595966,-74.044247311
"3",40.7272235,-74.0337589
"4",40.7242941,-74.0354826
"5",40.7211236,-74.03805095
"6",40.7192517,-74.034234
"7",40.7459099663156,-74.0572714805603
"8",40.73367,-74.0625
"9",40.742677141,-74.051788633
"10",40.7311689,-74.0575736
"11",40.7376037,-74.0524783
"12",40.719282200707,-74.071261882782
"13",40.72152515,-74.046304543
"14",40.71848892,-74.047726625
"15",40.7260117296463,-74.0503889322281
"16",40.7124188237569,-74.0385255217552
"17",40.72165072488,-74.0428841114044
"18",40.7183551982321,-74.0389144420624
"19",40.7162469,-74.0334588
"20",40.7233315864644,-74.0459525585174
"21",40.7165397809919,-74.0496379137039
"22",40.7127742,-74.0364857
"23",40.7287448,-74.0321082
"24",40.7241765,-74.0506564
"25",40.7141454,-74.0335519
"26",40.7349610200095,-74.0595030784607
"27",40.7307426253066,-74.0637838840485
"28",40.7253399253558,-74.0676221251488
"29",40.7177325,-74.043845
"30",40.7145840353589,-74.042817056179
"31",40.725685483629,-74.0487903356552
"32",40.7216301426384,-74.0499678254128
"33",40.7246050998869,-74.0784059464931
"34",40.734785818,-74.050443636
"35",40.7112423,-74.0557013
"36",40.7252891078113,-74.0455716848373
"37",40.7275514673001,-74.0710607171059
"38",40.722103786686,-74.0714550018311
"39",40.7236589,-74.0641943
"40",40.7487159453802,-74.0404433012009
"41",40.7443187,-74.0439909
"42",40.7257261374256,-74.0719592571259
"43",40.7134638266919,-74.0628585219383
"44",40.71649,-74.04105
"45",40.7143583687043,-74.0666109323502
"46",40.7151776773203,-74.0376833081245
"47",40.71942,-74.05099
"48",40.71113,-74.0789
"49",40.7101087,-74.0858489
"50",40.737711,-74.066921
"51",40.7182113,-74.0836394
"52",40.7104670233797,-74.0700387954712
"53",40.6970299,-74.0969366
"54",40.76087502,-74.00277668
"55",40.7096508336406,-74.0686011314392
